Title;Salary;Company;Location;Date
Системный администратор;250 000-300 000 KZT;ТОО Qazaq National Product;Нур-Султан;26 ноября
ИТ-менеджер;400 000-550 000 KZT;;Нур-Султан;20 ноября
ИТ-менеджер;400 000-550 000 KZT;;Алматы;20 ноября
Engineer;;ТОО Centrasia Heavy Industries;Атырау;20 ноября
Supervisor;;ТОО Centrasia Heavy Industries;Атырау;20 ноября
Менеджер по продажам;до 450 000 KZT;ТОО Ruba Technology;Алматы;24 ноября
Web-программист;от 200 000 KZT;ТОО РЕСПУБЛИКАНСКИЙ ЦЕНТР ПОМОЩИ ПРЕДПРИНИМАТЕЛЯМ;Алматы;24 ноября
Менеджер по продажам;120 000-1 000 000 KZT; Kolesa Group;Нур-Султан;26 ноября
Программист Java;от 450 000 KZT;ТОО Infocart;Алматы;24 ноября
Руководитель интернет-проектов;120 000-250 000 KZT;ТОО Компания Web-master.kz, ТМ (Корж, ИП);Караганда;20 ноября
Интернет-маркетолог;100 000-150 000 KZT;ТОО Штрих-Маркет Казахстан;Нур-Султан;23 ноября
Разработчик ABAP;;АО АО АК Алтыналмас;Алматы, Абая;23 ноября
PHP-программист;150 000-500 000 KZT;ТОО Astana Creative;Нур-Султан;23 ноября
Senior/Middle Full-stack Web developer (Web разработчик, PHP (Laravel) + Vue.js либо React);;ТОО DIMEDUS (Димедус);Нур-Султан;24 ноября
Стажер BI;от 120 000 KZT;ТОО UCO;Алматы;20 ноября
Администратор учебного класса;от 150 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Помощник тестировщика;; INTECH;Алматы;25 ноября
IT - Специалист (поддержка);от 250 000 KZT;ТОО К1М;Алматы;25 ноября
Начинающий веб-программист;;ТОО IT Support Group;Алматы, Драмтеатр имени Ауэзова;20 ноября
Редактор / Автор блога;от 150 000 KZT;ИП Alekenov;Нур-Султан;2 ноября
Младший аналитик в Департамент рисков;;АО Банк Хоум Кредит, ДБ АО;Алматы;25 ноября
Оператор по вводу данных;40 000-50 000 KZT;ТОО Таир Азия;Павлодар;28 октября
Техник - Инкассатор;170 000-200 000 KZT;ТОО DDK Group;Алматы;16 ноября
Frontend developer;200 000-500 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;11 ноября
Специалист Helpdesk;от 180 000 KZT;ТОО Немецкий двор;Алматы;25 ноября
Аккаунт-менеджер по продажам Направления «Международные операторы»;от 389 000 KZT;АО Транстелеком;Алматы;25 ноября
IT специалист;; Mon Amie, Сеть парфюмерно-косметических магазинов;Алматы;25 ноября
Аналитик данных (Junior/Middle);;ТОО Khan Group;Алматы, Алмалы;26 ноября
Стажер SAP (warehouse intern);;ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» );Нур-Султан;11 ноября
Аналитик (Data Science);;ТОО Phaeton DC;Алматы;18 ноября
Product manager;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;25 ноября
Тестировщик ПО;;АО Банк Хоум Кредит, ДБ АО;Алматы;26 ноября
Специалист Help Desk;;ТОО Лучшее решение;Актобе;20 ноября
Тестировщик web-приложений (Junior);до 200 000 KZT;ТОО Av-software;Алматы;17 ноября
Менеджер проекта;300 000-500 000 KZT;ТОО Uk Solution;Актобе;25 ноября
Стажер SAP (Warehouse intern);;ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» );Алматы;16 ноября
Тестировщик;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;26 ноября
Специалист по контенту;до 190 000 KZT;АО Казахтелеком;Алматы;20 ноября
Специалист технической поддержки;80 000-120 000 KZT;ТОО Logitex;Кульсары;25 ноября
Системный администратор;200 000-250 000 KZT; Kinopark Multiplex Cinemas, TM;Алматы;9 ноября
Специалист по обработке документов Отдела кадров;;ТОО Alina Group;Алматы;19 ноября
Главный специалист Help Desk, Департамент информационных технологий;;АО Al Hilal Банк;Алматы;25 ноября
Копирайтер/рерайтер (на английском языке);70 000-90 000 руб.; Content Creative Agency;Алматы;30 октября
Стажер Центра экспертизы RPA («Корпоративный университет «Самрук-Казына»);; Частное учреждение «Корпоративный университет «Самрук-Казына»;Нур-Султан;2 ноября
