Title;Salary;Company;Location;Date
Web-программист;от 200 000 KZT;ТОО РЕСПУБЛИКАНСКИЙ ЦЕНТР ПОМОЩИ ПРЕДПРИНИМАТЕЛЯМ;Алматы;24 ноября
Менеджер по продажам;120 000-1 000 000 KZT; Kolesa Group;Нур-Султан;26 ноября
PHP-программист;150 000-500 000 KZT;ТОО Astana Creative;Нур-Султан;23 ноября
Начинающий веб-программист;;ТОО IT Support Group;Алматы, Драмтеатр имени Ауэзова;20 ноября
Редактор / Автор блога;от 150 000 KZT;ИП Alekenov;Нур-Султан;2 ноября
Оператор по вводу данных;40 000-50 000 KZT;ТОО Таир Азия;Павлодар;28 октября
Frontend developer;200 000-500 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;11 ноября
IT специалист;; Mon Amie, Сеть парфюмерно-косметических магазинов;Алматы;25 ноября
Тестировщик ПО;;АО Банк Хоум Кредит, ДБ АО;Алматы;26 ноября
Аналитик данных (Junior/Middle);;ТОО Khan Group;Алматы, Алмалы;26 ноября
Тестировщик web-приложений (Junior);до 200 000 KZT;ТОО Av-software;Алматы;17 ноября
Специалист Help Desk;;ТОО Лучшее решение;Актобе;20 ноября
Тестировщик;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;26 ноября
Специалист технической поддержки;80 000-120 000 KZT;ТОО Logitex;Кульсары;25 ноября
Специалист по обработке документов Отдела кадров;;ТОО Alina Group;Алматы;19 ноября
Главный специалист Help Desk, Департамент информационных технологий;;АО Al Hilal Банк;Алматы;25 ноября
Специалист поддержки пользователей (Help desk);180 000-200 000 KZT;ТОО Транспортный холдинг города Алматы;Алматы;20 ноября
Системный администратор/программист;200 000-400 000 KZT;ТОО Interlink Global Services;Алматы;19 ноября
Помощник маркетолога;200 000-400 000 KZT;ТОО Микрофинансовая организация «TAS FINANCE GROUP»;Алматы, Алатау;9 ноября
Ведущий IT специалист (в единственном лице);; Adidas Group Kazakhstan, ТМ;Алматы, Алмалы;25 ноября
Системный администратор;от 200 000 KZT;ТОО Автогаз Трэйд;Нур-Султан;26 ноября
HTML-верстальщик;150 000-200 000 KZT;ТОО Веб-студия ONELAB;Усть-Каменогорск;26 ноября
Оператор;;АО TECHNODOM Operator (Технодом Оператор);Актау;25 ноября
Системный администратор;;ТОО Центр Правильного Сна;Алматы;23 ноября
Администратор интернет магазина;от 150 000 KZT;ИП Калюжный М.К.(ТМ ANNA ANNA);Алматы;26 ноября
Front-end разработчик/Верстальщик сайтов;от 250 000 KZT;ТОО THE WEB;Алматы;12 ноября
Эксперт по аналитике;; Beeline, ТМ;Алматы;25 ноября
"Арт-директор в ресторан ""у Афанасича""";от 250 000 KZT;ТОО Rio Churrasko(Рио чурасско);Алматы;23 ноября
Специалист по системам сбыта;; АО ИП Эфес Казахстан;Алматы;13 ноября
Специалист Helpdesk;до 170 000 KZT;ТОО Kulan Oil;Нур-Султан;25 ноября
SMM-специалист / Контент менеджер;150 000-180 000 KZT;ИП Sub-Zero;Алматы;24 ноября
Программист-разработчик;500 000-700 000 KZT;ТОО OPEN SYSTEMS DEVELOPMENT;Алматы;19 ноября
Go-lang разработчик;200 000-600 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;10 ноября
IT-специалист;от 130 000 KZT;ТОО Казахстанский оператор по управлению отходами;Караганда;26 ноября
Инженер-программист/инженер АСУ ТП;;ТОО МунайГаз, Инжиниринговая Компания;Нур-Султан;24 ноября
